Product_Name,Company,Export_Country,Date,Units_Sold,Unit_Price,Profit_Per_Unit,Export_Value,Destination_Port,Transportation_Mode
Cocoa,Agro Allied Exporters Nigeria Limited,Spain,2023-02-23,981,39948.71,5611.36,39189684.51,Warri,Sea
Cocoa,Solid Agro Nigeria Limited,Germany,2020-10-07,449,22573.52,5849.58,10135510.48,Lagos,Sea
Sesame,Agro Export Nigeria Ltd,Austria,2020-11-17,256,34710.58,6530.19,8885908.48,Lagos,Sea
Cashew,Nigeria Agro Export Company,Belgium,2021-10-25,309,36171.2,5485.99,11176900.8,Lagos,Sea
Plantain,Greenfield Agro Exporters Nigeria Limited,Italy,2022-04-11,316,33608.72,8153.51,10620355.52,Port Harcourt,Sea
Ginger,Farmgate Nigeria Limited,Netherlands,2022-12-30,519,46462.39,7563.66,24113980.41,Calabar,Sea
Cashew,Nigeria Agro Export Company,Denmark,2020-11-29,987,38561.5,9018.41,38060200.5,Lagos,Sea
Ginger,Agriplus Nigeria Limited,Netherlands,2022-01-21,536,10387.59,9458.22,5567748.24,Lagos,Sea
Cocoa,Greenfield Agro Exporters Nigeria Limited,Netherlands,2023-10-12,997,32753.28,8951.58,32655020.16,Calabar,Sea
Rubber,Prime Agro Exports Nigeria Limited,Sweden,2023-03-26,408,39571.27,5584.52,16145078.16,Lagos,Sea
Rubber,Golden Farms Nigeria Limited,Belgium,2020-09-30,227,14985.53,2169.04,3401715.31,Lagos,Sea
Cocoa,Agro Allied Exporters Nigeria Limited,Germany,2022-11-25,273,29358.38,5452.34,8014837.74,Warri,Sea
Cashew,Greenfield Agro Exporters Nigeria Limited,Austria,2023-01-09,494,30668.78,5725.02,15150377.32,Lagos,Sea
Palm Oil,Farmgate Nigeria Limited,Italy,2021-10-10,537,48105.59,5191.38,25832701.83,Lagos,Sea
Cashew,Nigerian Export Promotion Council (NEPC),Italy,2021-12-28,360,25462.65,9477.39,9166554,Lagos,Sea
Palm Oil,Greenfield Agro Exporters Nigeria Limited,Belgium,2020-07-20,698,36248.77,3758.47,25301641.46,Lagos,Sea
Palm Oil,Prime Agro Exports Nigeria Limited,Sweden,2023-01-08,988,28860.1,3599.16,28513778.8,Port Harcourt,Sea
Cocoa,Agro Allied Exporters Nigeria Limited,Denmark,2020-04-24,482,34497.66,2071.13,16627872.12,Port Harcourt,Sea
Sesame,Agro Allied Exporters Nigeria Limited,Austria,2023-07-10,933,21358.84,5191.57,19927797.72,Lagos,Sea
Cashew,Agro Export Nigeria Ltd,France,2023-05-09,409,48643.45,3745.48,19895171.05,Lagos,Sea
Palm Oil,Greenfield Agro Exporters Nigeria Limited,Sweden,2020-09-11,187,26876.43,7122.88,5025892.41,Port Harcourt,Sea
Cocoa,Agriplus Nigeria Limited,Spain,2022-07-02,640,37592.2,7882.03,24059008,Lagos,Sea
Ginger,Agro Allied Exporters Nigeria Limited,Spain,2021-04-22,985,22041.82,9336.12,21711192.7,Port Harcourt,Sea
Cocoa,Nigeria Agro Export Company,France,2022-03-17,746,11537.24,4261.71,8606781.04,Calabar,Sea
Cassava,Golden Farms Nigeria Limited,Netherlands,2021-08-06,184,11548.45,4562.51,2124914.8,Port Harcourt,Sea
Palm Oil,Nigerian Export Promotion Council (NEPC),Italy,2023-02-12,610,39943.95,7608.7,24365809.5,Lagos,Sea
Rubber,Nigeria Agro Export Company,Spain,2020-04-30,945,20163.08,5019.62,19054110.6,Lagos,Sea
Cocoa,Farmgate Nigeria Limited,Sweden,2021-03-23,864,40976.45,3472.61,35403652.8,Lagos,Sea
Rubber,Agro Allied Exporters Nigeria Limited,Italy,2021-11-08,346,45825.21,2333.75,15855522.66,Warri,Sea
Plantain,Golden Farms Nigeria Limited,Italy,2020-08-16,617,11446.76,6752.01,7062650.92,Calabar,Sea
Cashew,Agro Export Nigeria Ltd,Spain,2020-07-03,511,28130.25,9295.18,14374557.75,Lagos,Sea
Cassava,Prime Agro Exports Nigeria Limited,Belgium,2021-08-29,493,26013.72,5430.98,12824763.96,Port Harcourt,Sea
Ginger,Agro Export Nigeria Ltd,Germany,2021-02-07,554,40655.79,3828.59,22523307.66,Port Harcourt,Sea
Sesame,Nigeria Agro Export Company,France,2020-05-24,594,47688.67,9913.49,28327069.98,Lagos,Sea
Ginger,Farmgate Nigeria Limited,Netherlands,2021-01-29,307,20303.59,7637.18,6233202.13,Lagos,Sea
Cashew,Agriplus Nigeria Limited,Switzerland,2021-06-17,456,21633.6,4135.44,9864921.6,Calabar,Sea
Plantain,Nigeria Agro Export Company,Spain,2020-12-25,363,21256.72,4413.29,7716189.36,Lagos,Sea
Cocoa,Nigeria Agro Export Company,Spain,2022-08-21,337,12898.06,2443.4,4346646.22,Lagos,Sea
Cashew,Greenfield Agro Exporters Nigeria Limited,Germany,2022-04-08,253,10966.93,2635.2,2774633.29,Port Harcourt,Sea
Plantain,Prime Agro Exports Nigeria Limited,Sweden,2020-08-29,631,30503.36,9796.94,19247620.16,Lagos,Sea
Palm Oil,Agriplus Nigeria Limited,Austria,2023-08-30,227,18867.01,9051.29,4282811.27,Lagos,Sea
Cashew,Nigeria Agro Export Company,Italy,2021-05-29,494,29181.06,2446.06,14415443.64,Lagos,Sea
Sesame,Prime Agro Exports Nigeria Limited,Italy,2023-05-12,911,24589.63,5784.62,22401152.93,Calabar,Sea
Cocoa,Agro Allied Exporters Nigeria Limited,Sweden,2023-02-18,172,19594.66,9712,3370281.52,Warri,Sea
Ginger,Agro Export Nigeria Ltd,Austria,2021-06-09,651,10926.4,2904.18,7113086.4,Warri,Sea
Cashew,Farmgate Nigeria Limited,Austria,2021-04-21,238,28152.42,8234.85,6700275.96,Lagos,Sea
Cashew,Nigeria Agro Export Company,Italy,2021-05-25,112,37672.07,5265.33,4219271.84,Lagos,Sea
Cocoa,Prime Agro Exports Nigeria Limited,Belgium,2020-08-31,118,22796.67,4784.42,2690007.06,Lagos,Sea
Ginger,Nigeria Agro Export Company,Austria,2022-12-09,115,37857.65,2928.51,4353629.75,Port Harcourt,Sea
Plantain,Nigerian Export Promotion Council (NEPC),Germany,2021-10-08,999,20493.76,8990.87,20473266.24,Warri,Sea
Rubber,Nigeria Agro Export Company,Germany,2020-01-14,189,32429.66,5579.11,6129205.74,Lagos,Sea
Ginger,Farmgate Nigeria Limited,Spain,2020-06-28,371,15691.82,6331.62,5821665.22,Lagos,Sea
Palm Oil,Agro Allied Exporters Nigeria Limited,Spain,2021-07-30,367,41045.83,2057.84,15063819.61,Port Harcourt,Sea
Sesame,Farmgate Nigeria Limited,Switzerland,2021-09-02,284,34203.29,5562.73,9713734.36,Lagos,Sea
Sesame,Prime Agro Exports Nigeria Limited,Switzerland,2022-08-16,484,19067.8,3327.57,9228815.2,Calabar,Sea
Ginger,Agro Export Nigeria Ltd,Denmark,2023-04-02,671,47059.63,2744.68,31577011.73,Port Harcourt,Sea
Rubber,Golden Farms Nigeria Limited,Belgium,2021-11-25,671,23316.71,3376.13,15645512.41,Lagos,Sea
Cashew,Nigeria Agro Export Company,Italy,2020-09-05,604,26272.25,3836.47,15868439,Lagos,Sea
Palm Oil,Solid Agro Nigeria Limited,Netherlands,2020-08-04,390,42865.76,8235.34,16717646.4,Lagos,Sea
Cashew,Nigerian Export Promotion Council (NEPC),Switzerland,2020-05-30,444,25730.68,5539.83,11424421.92,Lagos,Sea
Sesame,Agriplus Nigeria Limited,Spain,2023-11-25,667,20963.97,8605.95,13982967.99,Calabar,Sea
Rubber,Agriplus Nigeria Limited,Italy,2022-07-13,272,13913.4,8925.23,3784444.8,Lagos,Sea
Cocoa,Farmgate Nigeria Limited,Spain,2022-03-23,340,26117.99,2018.73,8880116.6,Lagos,Sea
Ginger,Agro Allied Exporters Nigeria Limited,Denmark,2022-09-02,359,39185.03,5876.48,14067425.77,Warri,Sea
Cassava,Agro Export Nigeria Ltd,Italy,2020-05-13,895,44627.31,6484.53,39941442.45,Calabar,Sea
Rubber,Agro Allied Exporters Nigeria Limited,Netherlands,2022-08-26,805,18006.64,5923.04,14495345.2,Port Harcourt,Sea
Cassava,Prime Agro Exports Nigeria Limited,Switzerland,2020-09-10,711,33178.93,7017.84,23590219.23,Lagos,Sea
Rubber,Farmgate Nigeria Limited,Netherlands,2023-08-04,785,19604,4682.57,15389140,Lagos,Sea
Sesame,Prime Agro Exports Nigeria Limited,Germany,2022-04-20,573,25825.9,5873.67,14798240.7,Lagos,Sea
Ginger,Prime Agro Exports Nigeria Limited,Austria,2022-04-17,329,37602.34,5086.95,12371169.86,Lagos,Sea
Rubber,Greenfield Agro Exporters Nigeria Limited,Germany,2020-01-30,547,40318.72,3455.24,22054339.84,Calabar,Sea
Sesame,Nigeria Agro Export Company,Belgium,2020-02-09,346,45875.11,3490.75,15872788.06,Lagos,Sea
Cocoa,Agro Allied Exporters Nigeria Limited,Denmark,2021-10-01,815,12663.48,6749.3,10320736.2,Port Harcourt,Sea
Plantain,Golden Farms Nigeria Limited,Belgium,2022-08-09,386,21185.94,4796.95,8177772.84,Lagos,Sea
Sesame,Agriplus Nigeria Limited,Belgium,2020-03-15,558,42069.64,4852.43,23474859.12,Lagos,Sea
Cashew,Greenfield Agro Exporters Nigeria Limited,Spain,2022-07-20,275,18649.39,2111.99,5128582.25,Lagos,Sea
Plantain,Agro Export Nigeria Ltd,Sweden,2021-05-26,359,38635.31,6945.16,13870076.29,Lagos,Sea
Cocoa,Agriplus Nigeria Limited,Sweden,2023-06-07,540,45317.85,7712.76,24471639,Warri,Sea
Cashew,Nigerian Export Promotion Council (NEPC),Denmark,2023-01-24,245,22058.15,9141.05,5404246.75,Port Harcourt,Sea
Plantain,Greenfield Agro Exporters Nigeria Limited,Austria,2023-03-23,151,29521.86,9423.51,4457800.86,Lagos,Sea
Cocoa,Prime Agro Exports Nigeria Limited,Sweden,2021-06-03,157,11352.41,6556.99,1782328.37,Lagos,Sea
Sesame,Agro Export Nigeria Ltd,Italy,2021-03-04,711,30663.26,3202.33,21801577.86,Lagos,Sea
Rubber,Agro Allied Exporters Nigeria Limited,Netherlands,2020-06-13,340,12752.48,2678.21,4335843.2,Lagos,Sea
Cassava,Farmgate Nigeria Limited,Italy,2023-03-09,115,45869.9,7995.95,5275038.5,Lagos,Sea
Cashew,Nigeria Agro Export Company,Belgium,2020-03-31,627,34746.28,9410.62,21785917.56,Lagos,Sea
Plantain,Agro Allied Exporters Nigeria Limited,Switzerland,2020-08-25,844,34836.78,2564.43,29402242.32,Lagos,Sea
Rubber,Golden Farms Nigeria Limited,Denmark,2023-05-02,476,46857.65,3468.63,22304241.4,Lagos,Sea
Cocoa,Greenfield Agro Exporters Nigeria Limited,Sweden,2022-10-01,199,46862.07,7340.8,9325551.93,Calabar,Sea
Cashew,Prime Agro Exports Nigeria Limited,France,2021-12-24,279,13571.23,9897.25,3786373.17,Calabar,Sea
Cocoa,Agriplus Nigeria Limited,Italy,2020-12-14,332,42678.9,2935.51,14169394.8,Lagos,Sea
Cassava,Greenfield Agro Exporters Nigeria Limited,Germany,2023-12-30,769,32821.57,8150.57,25239787.33,Lagos,Sea
Rubber,Nigeria Agro Export Company,Sweden,2021-02-04,413,47019.51,3971.94,19419057.63,Lagos,Sea
Cashew,Greenfield Agro Exporters Nigeria Limited,Switzerland,2023-05-23,221,49351.36,5461.08,10906650.56,Lagos,Sea
Plantain,Farmgate Nigeria Limited,Netherlands,2022-08-26,103,12852.2,8992.5,1323776.6,Lagos,Sea
Palm Oil,Agro Export Nigeria Ltd,Belgium,2023-11-17,936,17721.41,9564.42,16587239.76,Lagos,Sea
Sesame,Nigerian Export Promotion Council (NEPC),France,2021-10-05,762,31063.94,8486.77,23670722.28,Lagos,Sea
Cassava,Nigeria Agro Export Company,France,2021-04-30,377,38436.41,7116.02,14490526.57,Lagos,Sea
Cashew,Solid Agro Nigeria Limited,France,2020-07-06,396,28963.42,9765.76,11469514.32,Calabar,Sea
Sesame,Agro Export Nigeria Ltd,Austria,2023-03-16,810,25588.62,3915.42,20726782.2,Port Harcourt,Sea
Cocoa,Agro Allied Exporters Nigeria Limited,Sweden,2020-06-14,166,33789.42,7069.44,5609043.72,Lagos,Sea
Sesame,Agro Export Nigeria Ltd,Belgium,2020-02-25,613,24452.58,6241.25,14989431.54,Lagos,Sea
Rubber,Solid Agro Nigeria Limited,Sweden,2020-09-04,567,20951.06,4547.67,11879251.02,Lagos,Sea
Plantain,Golden Farms Nigeria Limited,Netherlands,2021-10-03,630,33495.61,4141.31,21102234.3,Lagos,Sea
Cashew,Agro Export Nigeria Ltd,Belgium,2021-02-08,779,41434.9,4902.39,32277787.1,Lagos,Sea
Cocoa,Farmgate Nigeria Limited,Netherlands,2021-10-02,310,27530.43,2895.68,8534433.3,Lagos,Sea
Plantain,Prime Agro Exports Nigeria Limited,Belgium,2023-09-02,755,25170.32,6920.42,19003591.6,Lagos,Sea
Ginger,Greenfield Agro Exporters Nigeria Limited,Denmark,2021-11-02,775,33127.43,2179.18,25673758.25,Port Harcourt,Sea
Plantain,Agro Allied Exporters Nigeria Limited,Spain,2021-06-04,474,10811.43,3362.61,5124617.82,Lagos,Sea
Palm Oil,Agriplus Nigeria Limited,Italy,2023-03-30,147,21580.37,5867.99,3172314.39,Lagos,Sea
Cassava,Prime Agro Exports Nigeria Limited,Sweden,2020-05-02,662,31310.98,6516.4,20727868.76,Lagos,Sea
Cocoa,Agro Export Nigeria Ltd,Belgium,2023-07-29,283,24034.1,8798.82,6801650.3,Lagos,Sea
Palm Oil,Prime Agro Exports Nigeria Limited,Sweden,2021-03-03,676,22251.72,5992.39,15042162.72,Lagos,Sea
Cocoa,Golden Farms Nigeria Limited,Germany,2023-07-18,948,14062.61,7842.17,13331354.28,Warri,Sea
Cassava,Prime Agro Exports Nigeria Limited,Netherlands,2020-08-11,158,24848.97,5426.09,3926137.26,Port Harcourt,Sea
Cassava,Farmgate Nigeria Limited,Germany,2022-03-09,907,17899.88,6976.49,16235191.16,Lagos,Sea
Sesame,Prime Agro Exports Nigeria Limited,Italy,2023-08-13,737,19643.3,9374.93,14477112.1,Lagos,Sea
Cassava,Agro Export Nigeria Ltd,France,2020-08-10,736,19997.9,8920.82,14718454.4,Lagos,Sea
Cocoa,Golden Farms Nigeria Limited,Belgium,2020-08-17,167,24405.81,5557.46,4075770.27,Lagos,Sea
Cashew,Prime Agro Exports Nigeria Limited,Austria,2022-05-17,603,25715.79,9586.46,15506621.37,Port Harcourt,Sea
Rubber,Golden Farms Nigeria Limited,Spain,2023-09-25,576,49473.14,6506.39,28496528.64,Lagos,Sea
Rubber,Agro Allied Exporters Nigeria Limited,Italy,2021-07-26,696,40906.92,5413.24,28471216.32,Lagos,Sea
Cassava,Farmgate Nigeria Limited,Belgium,2020-02-21,312,29465.29,8310.14,9193170.48,Lagos,Sea
Cocoa,Prime Agro Exports Nigeria Limited,Austria,2023-01-21,906,32575.54,9617.59,29513439.24,Lagos,Sea
Cashew,Solid Agro Nigeria Limited,Spain,2023-06-01,290,40212.78,6892.54,11661706.2,Port Harcourt,Sea
Palm Oil,Solid Agro Nigeria Limited,Austria,2021-02-18,292,27482.77,3727.66,8024968.84,Lagos,Sea
Sesame,Agro Allied Exporters Nigeria Limited,Austria,2022-07-27,615,29388.41,4431.2,18073872.15,Lagos,Sea
Rubber,Farmgate Nigeria Limited,Switzerland,2023-08-15,893,13305.27,7510.66,11881606.11,Warri,Sea
Cassava,Solid Agro Nigeria Limited,Switzerland,2021-03-26,304,40982.46,9884.64,12458667.84,Lagos,Sea
Sesame,Golden Farms Nigeria Limited,France,2022-08-17,856,38044.13,2728.58,32565775.28,Lagos,Sea
Palm Oil,Agro Allied Exporters Nigeria Limited,Netherlands,2020-01-30,595,30005.57,7039.46,17853314.15,Lagos,Sea
Cassava,Solid Agro Nigeria Limited,Belgium,2020-06-26,442,18782.89,5559.47,8302037.38,Port Harcourt,Sea
Sesame,Nigeria Agro Export Company,Austria,2020-07-10,223,38450.54,9971.93,8574470.42,Lagos,Sea
Palm Oil,Agro Export Nigeria Ltd,Netherlands,2020-05-20,316,17819.75,9927.8,5631041,Lagos,Sea
Cocoa,Agriplus Nigeria Limited,Germany,2023-04-01,366,37718.55,3056.13,13804989.3,Lagos,Sea
Rubber,Nigerian Export Promotion Council (NEPC),Sweden,2023-02-05,196,39859.2,7877.05,7812403.2,Lagos,Sea
Cocoa,Greenfield Agro Exporters Nigeria Limited,Spain,2021-08-07,232,40443.45,8390.75,9382880.4,Port Harcourt,Sea
Cocoa,Farmgate Nigeria Limited,France,2020-10-29,181,42649.85,4580.52,7719622.85,Lagos,Sea
Cocoa,Agro Export Nigeria Ltd,Sweden,2020-02-03,990,36777.32,8027.19,36409546.8,Lagos,Sea
Cassava,Agro Allied Exporters Nigeria Limited,Italy,2023-04-14,401,29722.65,9701.73,11918782.65,Lagos,Sea
Ginger,Agriplus Nigeria Limited,Spain,2021-07-06,631,13405.98,9333.15,8459173.38,Lagos,Sea
Ginger,Greenfield Agro Exporters Nigeria Limited,Switzerland,2020-04-15,175,15018.73,9030.94,2628277.75,Lagos,Sea
Rubber,Agro Export Nigeria Ltd,Italy,2022-06-09,737,43567.37,9198.56,32109151.69,Warri,Sea
Sesame,Solid Agro Nigeria Limited,Netherlands,2020-07-12,268,41452.96,9960.67,11109393.28,Port Harcourt,Sea
Rubber,Agriplus Nigeria Limited,Denmark,2023-03-25,661,39910.72,6227.46,26380985.92,Calabar,Sea
Sesame,Agro Allied Exporters Nigeria Limited,Switzerland,2023-09-18,907,42974.87,3303.73,38978207.09,Lagos,Sea
Cassava,Agro Allied Exporters Nigeria Limited,France,2022-10-09,738,39223.54,9221.45,28946972.52,Warri,Sea
Cashew,Golden Farms Nigeria Limited,Denmark,2020-01-09,151,15679.05,8708.71,2367536.55,Warri,Sea
Rubber,Agro Export Nigeria Ltd,Netherlands,2021-03-31,804,28787.91,8809.98,23145479.64,Warri,Sea
Cassava,Golden Farms Nigeria Limited,Spain,2021-12-27,881,47757.87,6806.86,42074683.47,Port Harcourt,Sea
Rubber,Nigeria Agro Export Company,Switzerland,2022-02-28,141,44054.32,9201.08,6211659.12,Lagos,Sea
Palm Oil,Agro Export Nigeria Ltd,France,2021-07-31,407,46822.22,6834.45,19056643.54,Calabar,Sea
Sesame,Golden Farms Nigeria Limited,Italy,2023-08-05,864,37353.61,9363.41,32273519.04,Calabar,Sea
Palm Oil,Agro Export Nigeria Ltd,Germany,2022-11-07,184,13442.51,6666.22,2473421.84,Lagos,Sea
Cashew,Agriplus Nigeria Limited,Switzerland,2020-05-25,890,20914.84,7851.32,18614207.6,Lagos,Sea
Palm Oil,Greenfield Agro Exporters Nigeria Limited,Italy,2020-07-18,814,45418.18,2352.81,36970398.52,Lagos,Sea
Ginger,Golden Farms Nigeria Limited,Austria,2021-07-13,999,16092.91,5565.11,16076817.09,Warri,Sea
Palm Oil,Farmgate Nigeria Limited,Belgium,2023-07-04,278,20419.17,5664.55,5676529.26,Warri,Sea
Rubber,Agriplus Nigeria Limited,Switzerland,2021-10-06,267,17307.3,9600.96,4621049.1,Calabar,Sea
Cassava,Golden Farms Nigeria Limited,Austria,2021-07-05,805,40476.83,9454.84,32583848.15,Port Harcourt,Sea
Ginger,Agriplus Nigeria Limited,Spain,2020-12-12,568,39056.87,7655.01,22184302.16,Lagos,Sea
Cocoa,Agro Export Nigeria Ltd,Denmark,2020-05-26,798,43030.42,5718.02,34338275.16,Port Harcourt,Sea
Cassava,Prime Agro Exports Nigeria Limited,Italy,2020-10-14,405,49485.77,8763.98,20041736.85,Warri,Sea
Ginger,Solid Agro Nigeria Limited,France,2023-04-05,347,17266.35,8076.81,5991423.45,Calabar,Sea
Plantain,Agro Allied Exporters Nigeria Limited,France,2022-08-19,346,43082.11,9731.66,14906410.06,Lagos,Sea
Sesame,Nigerian Export Promotion Council (NEPC),Belgium,2023-08-17,478,15759.34,9407.02,7532964.52,Lagos,Sea
Sesame,Golden Farms Nigeria Limited,Spain,2023-01-15,406,39603.82,5227.59,16079150.92,Lagos,Sea
Ginger,Farmgate Nigeria Limited,Germany,2022-02-02,306,28489.69,5983.88,8717845.14,Lagos,Sea
Rubber,Farmgate Nigeria Limited,Spain,2020-06-11,673,20247.87,6035.27,13626816.51,Warri,Sea
Palm Oil,Agro Export Nigeria Ltd,Spain,2021-10-07,795,39866.44,8970.09,31693819.8,Port Harcourt,Sea
Cashew,Agro Export Nigeria Ltd,Netherlands,2021-08-17,293,35250.96,4432.89,10328531.28,Lagos,Sea
Sesame,Golden Farms Nigeria Limited,Denmark,2022-02-19,679,35641.08,6425.87,24200293.32,Warri,Sea
Ginger,Nigerian Export Promotion Council (NEPC),Belgium,2022-02-21,331,27941.06,2011.49,9248490.86,Port Harcourt,Sea
Cassava,Golden Farms Nigeria Limited,Germany,2022-05-02,928,22893.46,4425.03,21245130.88,Lagos,Sea
Cashew,Prime Agro Exports Nigeria Limited,Switzerland,2020-11-21,706,35409.89,6520,24999382.34,Port Harcourt,Sea
Rubber,Solid Agro Nigeria Limited,Belgium,2022-02-11,877,36520.61,6211.19,32028574.97,Lagos,Sea
Rubber,Solid Agro Nigeria Limited,Denmark,2021-02-09,957,27374.69,9259.27,26197578.33,Calabar,Sea
Cassava,Golden Farms Nigeria Limited,Belgium,2021-01-20,766,13513.38,4155,10351249.08,Lagos,Sea
Cashew,Nigeria Agro Export Company,Sweden,2022-01-12,223,41689.96,7172.86,9296861.08,Lagos,Sea
Cashew,Golden Farms Nigeria Limited,Germany,2023-02-08,998,30576.8,2142.19,30515646.4,Lagos,Sea
Palm Oil,Solid Agro Nigeria Limited,Austria,2022-10-24,301,15004.45,9281.36,4516339.45,Lagos,Sea
Sesame,Agro Export Nigeria Ltd,Sweden,2022-03-03,757,33275.53,8144.09,25189576.21,Lagos,Sea
Cassava,Greenfield Agro Exporters Nigeria Limited,Germany,2022-03-16,967,17287.05,9822.65,16716577.35,Lagos,Sea
Cassava,Solid Agro Nigeria Limited,Germany,2020-02-13,531,16488.41,7791.27,8755345.71,Warri,Sea
Cashew,Agro Allied Exporters Nigeria Limited,Sweden,2022-03-10,228,27992.79,4627.45,6382356.12,Calabar,Sea
Sesame,Agro Export Nigeria Ltd,Italy,2021-12-11,846,35637.29,4083.88,30149147.34,Port Harcourt,Sea
Palm Oil,Agro Allied Exporters Nigeria Limited,Germany,2020-05-25,246,28229.09,2527.76,6944356.14,Lagos,Sea
Cassava,Solid Agro Nigeria Limited,Netherlands,2022-03-04,500,48937.95,2835.78,24468975,Lagos,Sea
Sesame,Prime Agro Exports Nigeria Limited,Italy,2023-09-12,662,39462.23,2455.18,26123996.26,Port Harcourt,Sea
Cocoa,Farmgate Nigeria Limited,Germany,2023-04-14,166,21132.81,7252.84,3508046.46,Lagos,Sea
Sesame,Prime Agro Exports Nigeria Limited,Sweden,2022-03-14,113,44959.45,6092.14,5080417.85,Lagos,Sea
Rubber,Nigerian Export Promotion Council (NEPC),Switzerland,2023-12-28,763,44083.97,2597.65,33636069.11,Warri,Sea
Cashew,Agro Export Nigeria Ltd,Sweden,2021-07-18,319,26580.33,9531.2,8479125.27,Lagos,Sea
Plantain,Nigeria Agro Export Company,Netherlands,2022-11-14,167,22070.13,2572.19,3685711.71,Calabar,Sea
Cassava,Nigeria Agro Export Company,Austria,2022-03-23,554,12910.73,6115.26,7152544.42,Lagos,Sea
Plantain,Agriplus Nigeria Limited,Switzerland,2023-03-27,684,42655.08,4144.4,29176074.72,Lagos,Sea
Sesame,Agriplus Nigeria Limited,Spain,2020-03-19,619,40038.51,7040.64,24783837.69,Port Harcourt,Sea
Cocoa,Agriplus Nigeria Limited,Austria,2021-02-15,520,25128.16,3894.72,13066643.2,Lagos,Sea
Ginger,Farmgate Nigeria Limited,Switzerland,2022-05-04,899,27430.43,9404.06,24659956.57,Calabar,Sea
Cashew,Agro Export Nigeria Ltd,Belgium,2022-04-24,179,11948.5,8565.61,2138781.5,Lagos,Sea
Cashew,Agro Export Nigeria Ltd,Austria,2020-09-11,481,28731.34,7792.24,13819774.54,Port Harcourt,Sea
Cashew,Golden Farms Nigeria Limited,Italy,2020-03-13,592,10021.32,7255.38,5932621.44,Lagos,Sea
Cocoa,Farmgate Nigeria Limited,Netherlands,2022-04-29,339,45625.14,4973.87,15466922.46,Lagos,Sea
Ginger,Agro Export Nigeria Ltd,Italy,2020-10-15,686,20272.96,8833.63,13907250.56,Lagos,Sea
